id,name,price
1058,Jakie emer Earrings,1170.0
1053,Talia Bracelet,230.0
1038,Mimi Necklace,240.0
1037,Look Earrings,280.0
1035,Hearty Necklace,1040.0
1034,Jade Earrings,900.0
1031,Jenna black Earrings,810.0
1030,Cindy turquoise Earrings,220.0
1029,Suny XL Earrings,1390.0
1028,Elijah GS Ring,310.0
1027,Khan Small Earrings,860.0
1021,Liam Earrings,420.0
1020,Leslie Earrings,900.0
1018,Blondie Necklace,520.0
1017,Love Necklace,4130.0
1016,Artie Necklace,490.0
1015,Liby diamant Earrings,270.0
1014,Cross T Earrings,240.0
1013,Pilli gold Earrings,350.0
1012,Manu diamant Necklace,240.0
1011,Doddie Earrings,690.0
1010,Naël diamant Ring,260.0
1009,Emmy Earrings,880.0
1008,Félix Necklace,620.0
1006,Marilou black Ring,510.0
1005,Arno large black Necklace,495.0
1004,Mae turquoise Bracelet,1090.0
1003,Janie L Necklace,630.0
1000,Liby turquoise Earrings,260.0
999,Lake T. Earrings,810.0
998,Wild black Ring,240.0
997,Mini pho eye Necklace,200.0
996,Hochu Ring,620.0
993,Jef gold Necklace,260.0
992,Sun Earrings,270.0
990,Timm diamant Earring,580.0
989,Timm rubis Earring,550.0
987,Pilli black Earrings,350.0
983,Tom Necklace,630.0
981,Naël turquoise Ring,260.0
980,Mae D Bracelet,1300.0
979,Lake D. Earrings,880.0
978,Mini love Necklace,2000.0
974,Finn garnet Earrings,1110.0
973,Marilou gold Ring,510.0
972,Arno small black Necklace,230.0
970,Jane L Bracelet,280.0
966,Jenna gold Earrings,810.0
965,Isa black Earrings,650.0
964,Gégé turquoise Bracelet,250.0
963,Folk diamant Ring,380.0
960,Bobbie Ring,470.0
959,Blues Earrings,890.0
958,Chance Necklace,720.0
957,Cindy diamant Earrings,260.0
956,Blondie Ring,500.0
955,Bea 3XL Earrings,320.0
954,Eki Ring,230.0
952,Cross D Earrings,270.0
950,Blondie Earrings,700.0
948,Arte Earrings,620.0
947,Arno large gold Necklace,495.0
946,Angela 12 Earrings,570.0
944,Aimi Ring,280.0
943,Bea 3 Dot Earrings,190.0
942,Jef Necklace,260.0
941,Folk turquoise Ring,350.0
940,Celia blue Earrings,840.0
939,Blues Ring,620.0
937,Gary Necklace,1200.0
935,Mini pho X turquoise Necklace,200.0
934,Funk turquoise Bracelet,430.0
933,Wild gold Ring,240.0
932,Trilo Earrings,380.0
931,Siloe Necklace,1110.0
930,Elijah BS Ring,310.0
927,Moon Necklace,1200.0
926,Jane M Bracelet,280.0
925,Bali Earrings,310.0
924,Manu turquoise Necklace,240.0
923,Raja gold Ring,220.0
922,Khany  Bracelet,1890.0
921,Glen black Ring,390.0
920,Finn eme Earrings,1190.0
919,Blues Necklace,590.0
917,Tiny Diamant  Earrings,260.0
916,Aile Ring,990.0
915,Arno small gold Necklace,230.0
914,Come black Ring,360.0
913,Isa white Earrings,650.0
912,Doddie Necklace,460.0
908,Jagger Necklace,610.0
885,Flora sapp. Ring,720.0
883,Ellie diam Bracelet,2400.0
881,Jakie Ring,1610.0
878,Flora morga Necklace,630.0
876,Flora sapp. Earrings,1050.0
875,Flora sapp. Necklace,700.0
