date,pv_ttc
2023-09-26,3510.0
2023-09-27,350.0
2023-09-28,1700.0
2023-09-29,1640.0
2023-10-02,0.0
2023-10-03,280.0
2023-10-09,2770.0
2023-10-12,1940.0
2023-10-13,2700.12
2023-10-14,310.0
2023-10-15,380.0
2023-10-16,2120.0
2023-10-17,405.0
2023-10-19,5985.88
2023-10-24,660.0
2023-10-27,927.39
2023-10-30,1708.78
2023-10-31,1375.0
2023-11-02,-2210.0
2023-11-03,190.0
2023-11-07,2600.0
2023-11-08,1080.0
2023-11-09,1702.21
2023-11-12,230.0
2023-11-13,2302.9700000000003
2023-11-15,630.0
2023-11-20,320.0
2023-11-22,480.0
2023-11-23,1070.0
2023-11-24,1300.0
2023-11-25,1452.37
2023-11-26,1439.53
2023-11-27,360.0
2023-11-28,780.0
2023-11-29,450.0
2023-11-30,200.0
2023-12-01,2702.7200000000003
2023-12-02,2013.04
2023-12-03,240.0
2023-12-04,1239.7
2023-12-05,5050.0
2023-12-06,2915.0
2023-12-07,1494.26
2023-12-08,965.0
2023-12-09,3080.7799999999997
2023-12-10,1739.63
2023-12-11,2950.0
2023-12-12,3434.39
2023-12-13,2887.26
2023-12-14,2785.0
2023-12-15,3213.44
2023-12-16,1745.0
2023-12-17,4321.92
2023-12-18,5010.17
2023-12-19,3060.0
2023-12-20,850.0
2023-12-21,-330.0
2023-12-22,190.0
2023-12-26,854.07
2023-12-29,750.0
2024-01-03,854.16
2024-01-06,520.0
2024-01-07,550.0
2024-01-08,460.0
2024-01-09,-1300.0
2024-01-10,425.0
2024-01-11,250.0
2024-01-13,280.0
2024-01-14,0.0
2024-01-15,1310.0
2024-01-16,850.0
2024-01-17,580.0
2024-01-19,280.0
2024-01-20,397.09
2024-01-21,810.0
2024-01-23,2105.0
2024-01-24,320.0
2024-01-26,800.0
2024-01-30,310.0
2024-02-01,-215.0
2024-02-04,2040.0
2024-02-05,850.0
2024-02-08,720.0
2024-02-09,935.0
2024-02-10,270.0
2024-02-11,690.0
2024-02-12,1240.0
2024-02-13,1110.0
2024-02-14,907.56
2024-02-16,1060.0
2024-02-17,324.86
2024-02-19,790.0
2024-02-20,-680.0
2024-02-23,240.0
2024-02-24,286.36
2024-02-25,1580.0
2024-02-26,310.0
2024-02-27,445.0
2024-02-29,1190.0
2024-03-01,580.0
2024-03-03,320.0
2024-03-05,510.0
2024-03-07,610.0
2024-03-11,-1010.0
2024-03-12,1400.0
2024-03-13,2560.0
2024-03-15,-324.86
2024-03-16,1260.0
2024-03-17,630.0
2024-03-19,1420.0
2024-03-20,840.0
2024-03-21,755.0
2024-03-24,260.0
2024-03-25,1930.0
2024-03-26,1090.0
2024-03-27,240.0
2024-03-28,1810.0
2024-03-29,1670.0
2024-04-01,2083.4
2024-04-03,2325.0
2024-04-05,1490.0
2024-04-07,680.0
2024-04-08,-160.0
2024-04-10,-560.0
2024-04-11,-20.0
2024-04-12,890.0
2024-04-13,190.0
2024-04-15,280.0
2024-04-17,360.0
2024-04-18,220.0
2024-04-19,-240.0
2024-04-21,320.0
2024-04-23,490.0
2024-04-25,270.0
2024-04-26,1000.01
2024-04-27,350.0
2024-04-28,270.0
2024-04-30,580.0
2024-05-01,1490.0
2024-05-03,-30.0
2024-05-04,285.0
2024-05-05,255.0
2024-05-06,880.0
2024-05-07,190.0
2024-05-08,845.0
2024-05-10,180.0
2024-05-13,350.0
2024-05-15,550.0
2024-05-17,323.64
2024-05-18,260.0
2024-05-19,220.0
2024-05-20,1490.0
2024-05-21,240.0
2024-05-25,320.0
2024-05-26,190.0
2024-05-27,1420.0
2024-05-29,1580.0
2024-05-31,880.0
2024-06-02,750.0
2024-06-04,680.0
2024-06-05,1950.0
2024-06-06,965.0
2024-06-07,510.0
2024-06-10,1140.0
2024-06-12,220.0
2024-06-13,490.0
2024-06-14,2320.0
2024-06-16,800.0
2024-06-17,272.0
2024-06-19,380.0
2024-06-21,-220.0
2024-06-22,760.0
2024-06-24,680.0
2024-06-27,1357.1799999999998
2024-06-28,390.0
2024-06-29,285.0
2024-06-30,2230.0
2024-07-01,3150.0
2024-07-02,680.0
2024-07-09,280.0
2024-07-11,280.0
2024-07-13,1390.0
2024-07-16,1598.46
2024-07-17,2320.76
2024-07-18,320.0
2024-07-22,350.0
2024-07-23,1632.1100000000001
2024-07-24,1390.0
2024-07-26,2240.0
2024-07-27,230.0
2024-07-29,1690.0
2024-07-30,220.0
2024-08-04,380.0
2024-08-05,205.0
2024-08-07,1044.84
2024-08-09,315.0
2024-08-14,310.0
2024-08-16,-2240.0
2024-08-23,490.0
2024-08-24,680.0
2024-08-25,270.0
2024-08-26,530.0
2024-08-28,730.0
2024-08-30,370.0
2024-09-02,420.0
2024-09-03,255.0
2024-09-04,280.0
2024-09-05,610.0
2024-09-06,5270.0
2024-09-07,1470.0
2024-09-09,3230.0
2024-09-10,640.0
2024-09-11,1370.0
2024-09-12,260.0
2024-09-13,740.0
2024-09-16,500.0
2024-09-17,-270.0
2024-09-18,220.0
2024-09-19,2630.0
2024-09-20,-260.0
2024-09-21,540.0
2024-09-23,1095.0
2024-09-24,380.0
2024-09-25,995.0
2024-09-26,550.0
2024-09-29,1290.0
2024-09-30,320.0
2024-10-01,650.0
2024-10-02,2810.0
2024-10-03,2870.0
2024-10-04,880.0
2024-10-06,255.0
2024-10-08,2114.81
2024-10-09,310.0
2024-10-11,1780.0
2024-10-13,2337.12
2024-10-14,380.0
2024-10-15,1630.0
2024-10-16,1040.0
2024-10-18,550.0
2024-10-21,1070.0
