id,SFA,lib,EAN,qty,Factory Price,Group Price,RETAIL,RETAIL_US
8536,"Boucles d'oreilles","ALBY PAIR Or 14k - aigue marine ",3666023080855,1,"337,10",975,2640,3800
8549,Collier,"NAO T. large Or 14k - Tourmaline ",3666023080985,2,"90,45",250,680,980
8599,Bague,"TORIN ronde OR 14k - Topaz 53",3666023081487,1,"254,78",726,1960,2830
8600,Bague,"TORIN ronde OR 14k - Topaz 55",3666023081494,1,"254,78",726,1960,2830
8621,Collier,"LANA  Argent doré or ",3666023081708,1,"29,48",96,260,370
8654,"Boucles d'oreilles","KAI SILVER Argent ",3666023081944,1,"32,43",103,280,400
8660,"Boucles d'oreilles","KAI GOLD Or 14k ",3666023082002,1,"207,11",533,1440,2080
8662,Bague,"ADELE Or 14k 53",3666023082026,1,"243,94",611,1650,2380
8663,Bague,"ADELE Or 14k 55",3666023082033,1,"243,94",611,1650,2380
8675,"Boucles d'oreilles","NADJA Silver Argent ",3666023082149,1,"44,73",144,390,560
8677,"Boucles d'oreilles","TILDE Or 14k ",3666023082163,1,"376,58",840,2270,3280
8689,Collier,"PALM OR 14k - Topaz ",3666023082279,1,"335,95",852,2300,3320
8762,Bague,"FLORA BLUE* Or 14k - saphir 49",3666023082965,1,"91,10",265,720,1030
8766,"Coffret ","Coffret gainé en édition limit Rouge Burgundy-Dark Red ",3666023083009,2,"26,00",65,120,140
8767,"Coffret ","Coffret gainé en édition limit Rouge Burgundy-Misty Rose ",3666023083016,2,"26,00",65,120,140
8768,"Coffret ","Coffret gainé en édition limit Violet-Plum ",3666023083023,1,"26,00",65,120,140
8777,"Boucles d'oreilles","YONI Or 14k - Diamant ",3666023083108,1,"101,52",273,740,1060
8783,Bracelet,"BOAT Argent doré or ",3666023083160,1,"85,70",258,690,1010
8787,Collier,"SNOW Or 14k - pearl ",3666023083207,1,"208,92",610,1650,2380
8792,Collier,"DAHLIA Or 14k - saphir ",3666023083252,2,"132,10",357,965,1390
8793,Collier,"OLIVE Or 14k - Apatite ",3666023083269,1,"130,30",401,1080,1560
8810,"Boucles d'oreilles","MINA Or 14k ",3666023083429,1,"299,03",654,1770,2550
8822,Collier,"NAVY Or 14k - Lapis ",3666023083542,1,"172,48",457,1230,1780
8831,"Boucles d'oreilles","PEPPER N°2 Or 14k - Diamant ",3666023083634,1,"151,51",455,1230,1770
8834,"Boucles d'oreilles","PEPPER N°5 Or 14k - Diamant ",3666023083665,1,"151,51",455,1230,1770
8837,Collier,"SAND 2 Or 14k - Diamant ",3666023083696,1,"88,16",291,790,1130
8850,Bracelet,"FIZZ DORE Argent doré or ",3666023083818,1,"34,19",144,390,560
8852,Collier,"SOFIA white Argent Oxydé - Or 14k ",3666023083832,1,"121,70",477,1290,1860
8860,Bague,"ANJO S. Argent 51",3666023083917,1,"29,56",98,260,380
8861,Bague,"ANJO S. Argent 53",3666023083924,1,"29,56",98,260,380
8862,Bague,"ANJO S. Argent 55",3666023083931,2,"29,56",98,260,380
8871,"Boucles d'oreilles","67J N°1 Or 14k - saphir ",3666023084020,1,"111,13",333,900,1300
8907,"Boucles d'oreilles","70S N°6 Or 14k ",3666023084389,1,"143,78",441,1190,1720
8928,"Boucles d'oreilles","73S N°11 Or 14k ",3666023084594,1,"197,03",592,1600,2310
8936,"Boucles d'oreilles","63S Or 14k ",3666023084679,1,"147,09",463,1250,1810
8993,"Coffret ","Old Yellow Bloom Box Bleu-Lavender ",3666023085249,1,"100,00",200,440,780
9001,"Boucles d'oreilles","LUMI white Argent Oxydé - Or 14k ",3666023085324,1,"100,78",269,730,1050
9010,Collier,"LEEBA Or 14k - Diamant ",3666023085416,1,"75,00",240,650,940
9011,"Boucles d'oreilles","HOPE Or 14k - Diamant ",3666023085423,1,"174,78",459,1240,1790
9012,Collier,"NAO cit small Or 14k - citrine ",3666023085430,1,"57,93",174,470,680
9013,Collier,"LOKKI black Argent doré à l'or fin - Or 14k ",3666023085447,2,"61,36",181,490,710
9014,Collier,"LOKKI white Argent doré à l'or fin - Or 14k ",3666023085454,1,"60,83",181,490,710
9015,Emballage,"Sac shopper Large Noir-Black ",3666023085461,9,0,0,0,0
9016,Collier,"LYS Or 14k - Diamant ",3666023085478,1,"307,05",711,1920,2770
9025,Collier,"JUNE PINK Argent doré ",3666023085560,1,"81,32",215,580,840
9028,Bague,"AVNER D. Argent Oxydé - Or 14k 53",3666023085591,1,"142,94",395,1070,1540
9029,Bague,"AVNER D. Argent Oxydé - Or 14k 55",3666023085607,2,"142,94",395,1070,1540
9034,"Boucles d'oreilles","73J N°5 Or 14k - Tourmaline ",3666023085652,1,"367,65",1287,3470,5020
9069,Collier,"LILLA Argent doré ",3666023085997,1,"58,38",176,480,690
9071,Collier,"BEE pdl Argent doré ",3666023086017,1,"51,60",140,380,550
9079,Bracelet,"PIPA ROSE Argent doré ",3666023086086,1,"9,09",45,120,180
9098,Bague,"ROME Or 14k 53",3666023086277,1,"262,09",626,1690,2440
9099,Bague,"ROME Or 14k 55",3666023086284,1,"262,09",626,1690,2440
9131,"Boucles d'oreilles","PLAY FLOWER Argent doré ",3666023086604,1,"51,58",155,420,600
9132,"Boucles d'oreilles","FIFI Argent doré ",3666023086611,1,"67,16",202,550,790
9133,"Boucles d'oreilles","PLAY R. Argent doré ",3666023086628,1,"48,38",155,420,600
9136,Bracelet,"DAISY  Or 14k - Diamant ",3666023086659,1,"436,01",1133,3060,4420
9164,Bague,"WATER 57J T54 N°1 Or 14k - Tourmaline ",3666023086901,1,"332,57",998,2690,3890
9168,Bague,"WATER 57J T54 N°5 Or 14k - Tourmaline ",3666023086949,1,"332,57",998,2690,3890
9182,Bague,"ZIRCA T55 N°1 Or 14k - zircon ",3666023087083,1,"197,07",650,1760,2540
9186,Bague,"AVNER Green  Argent Oxydé - Or 14k 53",3666023087120,1,"137,71",367,990,1430
9191,"Boucles d'oreilles","LUMI Green Argent doré - Or 14k ",3666023087175,2,"73,84",185,500,720
9192,"Boucles d'oreilles","LUMI Violet Argent Oxydé - Or 14k ",3666023087182,1,"74,00",185,500,720
9197,Collier,"FLAVIE  Argent doré ",3666023087236,1,"26,59",80,220,310
9200,Collier,"JUNE BLUE Argent doré ",3666023087267,1,"81,93",215,580,840
9201,Collier,"SOFIA Green Argent Oxydé - Or 14k ",3666023087274,1,"77,05",277,750,1080
9202,Collier,"SOFIA Violet Argent Oxydé - Or 14k ",3666023087281,1,"77,42",277,750,1080
9210,"Boucles d'oreilles","BYE Pdl Argent doré ",3666023087366,2,"36,02",109,290,430
9214,Sautoir,"ARLO  Argent Oxydé - Or 14k ",3666023087403,1,"87,01",188,510,730
9219,Collier,"DUDLEY  Or 14k - pearl ",3666023087458,1,"95,73",229,620,890
9220,"Boucles d'oreilles","DUDD Or 14k - pearl ",3666023087465,1,"129,46",283,760,1100
9221,Bague,"TODD Or 14k - pearl 51",3666023087472,1,"130,96",333,835,1300
9222,Bague,"TODD Or 14k - pearl 53",3666023087489,1,"130,96",333,835,1300
9234,"Boucles d'oreilles","24F n°2 Or 14k ",3666023087595,1,"337,02",1012,2220,3950
9258,Emballage,"BOITE PAD BAGUE  black gold-black gold ",3666023087830,9,0,0,0,0
9259,Emballage,"BOITE PAD BO black gold-black gold ",3666023087847,10,0,0,0,0
9260,Emballage,"BOITE PAD L black gold-black gold ",3666023087854,9,0,0,0,0
9286,Collier,"RICE Necklace Argent Oxydé - Or 14k - Diamant ",3666023088103,1,"215,33",573,1550,2230
9291,Collier,"G. WAL 147 N°4 Or 14k - Tourmaline ",3666023088158,1,"216,68",661,1780,2580
